Date,SCP,Foundation Site,Object Classification,is_humanoid,is_infohazardous,is_location,is_organic,is_predatory,is_mechanical,is_mobile,is_replicating,is_virtual,Team Sent,Acquisition Successful?,Profit/Loss (normalized to 1940 $MM),,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-028,Site 2: Washington D.C,Keter,0,0,0,0,0,0,1,1,0,Legal,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-043,Site 2: Washington D.C,Keter,0,0,0,0,0,0,1,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-098,Site 8: Tehran,Keter,0,0,0,0,0,0,0,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-127,Site 2: Washington D.C,Keter,0,0,0,0,0,0,0,1,1,Infiltration,1,-19.3,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-210,Site 8: Tehran,Safe,0,0,1,0,0,0,0,1,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-221,Site 7: Shanghai,Safe,0,0,1,0,0,0,0,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-248,Site 3: Kinshasa,Keter,0,0,0,0,0,0,0,0,1,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-301,Site 7: Shanghai,Safe,0,0,1,1,0,0,0,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-314,Site 2: Washington D.C,Keter,0,0,0,0,0,0,1,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-353,Site 4: Moscow,Keter,0,1,0,0,0,0,0,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-389,Site 6: Geneva,Euclid,0,0,0,0,0,0,0,0,1,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-408,Site 3: Kinshasa,Keter,0,0,0,0,0,1,0,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-417,Site 8: Tehran,Safe,0,0,1,0,0,0,0,0,1,Infiltration,1,8,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-446,Site 3: Kinshasa,Safe,0,0,1,0,0,1,0,0,1,Paramilitary,1,13.3,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-459,Site 3: Kinshasa,Euclid,0,1,0,0,0,0,0,0,1,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-477,Site 6: Geneva,Keter,0,0,0,1,0,0,1,1,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-480,Site 6: Geneva,Euclid,0,0,0,1,0,0,0,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-502,Site 7: Shanghai,Euclid,0,0,0,0,0,0,0,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1921Q3,SCP-514,Site 3: Kinshasa,Euclid,0,0,0,0,0,1,1,0,0,None,0,0,,,,,,,,,,,,,,,,,,,,,,,,
